,0
0,1.0
1,0.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,0.0
9,1.0
10,0.0
11,1.25
12,0.0
13,1.0
14,1.0
15,0.0
16,0.0
17,1.0
18,0.0
19,1.0
20,0.0
21,1.0
22,0.0
23,1.0
24,0.0
25,0.0
26,0.0
27,1.5
28,0.0
29,1.5
30,0.0
31,0.0
32,0.0
33,0.0
34,1.25
35,0.0
36,0.0
37,1.25
38,0.0
39,1.25
40,0.0
41,1.25
42,0.0
43,1.25
44,0.0
45,1.25
46,0.0
47,1.25
48,0.0
49,1.25
50,0.0
51,1.25
52,0.0
53,1.25
54,0.0
55,0.0
56,1.25
57,0.0
58,1.25
59,0.0
60,1.25
61,0.0
62,1.25
63,0.0
64,1.25
65,0.0
66,1.25
67,0.0
68,1.25
69,0.0
70,1.25
71,0.0
72,0.0
73,1.0
74,0.0
75,1.0
76,1.0
77,0.0
78,0.0
79,1.0
80,1.0
81,0.0
82,1.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,1.25
94,0.0
95,1.25
96,0.0
97,0.0
98,1.25
99,0.0
100,1.25
101,1.25
102,0.0
103,1.25
104,0.0
105,1.25
106,0.0
107,1.25
108,1.25
109,1.25
110,1.25
111,0.0
112,1.25
113,1.25
114,0.0
115,1.25
116,1.25
117,1.25
118,1.25
119,1.25
120,1.25
121,1.25
122,0.0
123,0.0
124,1.0
125,1.0
126,0.0
127,1.0
128,1.0
129,0.0
130,0.0
131,1.0
132,1.0
133,0.0
134,1.0
135,1.0
136,1.0
137,1.0
138,0.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,0.0
150,1.0
151,1.0
152,1.0
153,0.0
154,1.0
155,0.75
156,0.75
157,0.0
158,0.75
159,0.75
160,0.75
161,0.75
162,0.0
163,0.75
164,0.75
165,0.0
166,0.75
167,0.75
168,0.0
169,0.75
170,0.75
171,0.75
172,0.75
173,0.75
174,0.0
175,0.75
176,1.0
177,1.0
178,0.0
179,0.0
