,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-0.041456833,0.22205038,-0.8907026,-0.6452054,-1.546657,0.0,-0.15024607,-1.8960136,-0.3499647,-0.3398419,-0.5039621,-0.87362456,0.83911484,0.3998289,0.12734374,-0.73629534,-0.7226849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.89332247,-0.21314433,-1.4743421,-0.9968243,-0.50900847,-0.5693052,-0.047162246,0.0,-0.8219242,-0.14778885,1.0213445,0.121499605,-0.2639199
1,-0.02091584,0.22205038,-0.8907026,-0.6452054,-1.546657,0.0,-0.15024607,-1.8960136,-0.3499647,-0.3398419,-0.5039621,-0.87362456,0.83911484,0.3998289,0.12734374,-0.73629534,-0.7226849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48286188,-0.89332247,-0.21314433,-1.4743421,-0.9968243,-0.50900847,-0.5693052,-0.047162246,0.0,-0.8219242,-0.14778885,1.0213445,0.121499605,-0.2639199
2,-0.027285926,0.22205038,-0.8907026,-0.6452054,-1.546657,0.0,-0.15024607,-1.8960136,-0.3499647,-0.3398419,-0.5039621,-0.87362456,0.83911484,0.3998289,0.84518206,-0.73629534,-0.7226849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48286188,-0.89332247,-0.21314433,-1.4743421,-0.9968243,-0.50900847,-0.5693052,-0.047162246,0.0,-0.8219242,-0.14778885,1.0213445,0.121499605,-0.2639199
3,-0.021191366,0.22205038,-0.8907026,-0.6452054,-1.546657,0.0,-0.15024607,-1.8960136,-0.3499647,-0.3398419,-0.5039621,-0.87362456,0.83911484,0.3998289,0.5822116,-0.73629534,-0.7226849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48286188,-0.89332247,-0.21314433,-1.4743421,-0.9968243,-0.50900847,-0.5693052,-0.047162246,0.0,-0.8219242,-0.14778885,1.0213445,0.121499605,-0.2639199
4,-0.02129938,0.22205038,-0.8907026,-0.6452054,-1.546657,0.0,-0.15024607,-1.8960136,-0.3499647,-0.3398419,-0.5039621,-0.87362456,0.83911484,0.3998289,0.35477766,-0.73629534,-0.7226849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33501926,-0.89332247,-0.21314433,-1.4743421,-0.9968243,-0.50900847,-0.5693052,-0.047162246,0.0,-0.8219242,-0.14778885,1.0213445,0.121499605,-0.2639199
5,-0.024981014,0.22205038,-0.7427168,-0.6452054,-0.3540962,0.0,-1.4081649,1.176275,-0.8095797,-0.3398419,-0.57447904,-0.9312666,1.0698478,-0.8303893,-0.9103235,-1.1073304,-1.2678534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33501926,-0.81022584,-0.11666635,-0.5596381,-0.36536777,-0.10575272,-0.17141588,-0.36199218,-0.108797856,-0.82913494,-0.60745746,-1.0827198,-1.3544807,-0.37135175
6,-0.023825813,0.22205038,-0.7427168,-0.6452054,-0.3540962,0.0,-1.4081649,1.176275,-0.8095797,-0.3398419,-0.57447904,-0.9312666,1.0698478,-0.8303893,-0.3985972,-1.1073304,-1.2678534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33501926,-0.81022584,-0.11666635,-0.5596381,-0.36536777,-0.10575272,-0.17141588,-0.36199218,-0.108797856,-0.82913494,-0.60745746,-1.0827198,-1.3544807,-0.37135175
7,-0.043654647,0.22205038,-0.7427168,-0.6452054,-0.3540962,0.0,-1.4081649,1.176275,-0.8095797,-0.3398419,-0.57447904,-0.9312666,1.0698478,-0.8303893,-0.3275241,-1.1073304,-1.2678534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33501926,-0.81022584,-0.11666635,-0.5596381,-0.36536777,-0.10575272,-0.17141588,-0.36199218,-0.108797856,-0.82913494,-0.60745746,-1.0827198,-1.3544807,-0.37135175
8,-0.028768832,0.22205038,-0.7427168,-0.6452054,-0.3540962,0.0,-1.4081649,1.176275,-0.8095797,-0.3398419,-0.57447904,-0.9312666,1.0698478,-0.8303893,-0.3275241,-1.1073304,-1.2678534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33501926,-0.81022584,-0.11666635,-0.5596381,-0.36536777,-0.10575272,-0.17141588,-0.36199218,-0.108797856,-0.82913494,-0.60745746,-1.0827198,-1.3544807,-0.37135175
9,-0.010535497,0.22205038,-0.594731,-0.6452054,-0.013364528,0.0,-1.0487595,1.176275,-0.8095797,-0.3398419,-0.43344516,-0.9312666,0.65684134,-0.8303893,-0.76817733,-0.98365206,-1.0406998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33501926,-0.45159832,-0.13072488,-0.58370924,-0.58353525,-0.13935737,-0.17141588,-0.34095597,-0.108797856,-0.6849202,-0.44985682,0.06495167,-0.7714685,-0.39820972
