,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
83,2,22,14,26,34,29,35,23,21,7,4,28,30,5,6,0,0,0
84,2,14,26,26,34,10,32,29,35,23,21,7,4,25,28,30,5,6
85,2,22,14,26,34,10,32,29,35,23,21,7,4,25,28,30,5,6
86,2,14,26,34,10,32,29,35,21,7,4,25,28,30,5,6,0,0
87,2,16,22,14,26,34,10,32,29,35,21,7,4,25,28,30,5,6
88,2,22,14,26,34,32,29,35,21,7,4,25,28,30,5,6,0,0
89,2,22,36,14,26,34,32,29,35,21,7,33,4,25,28,5,6,0
90,2,3,22,14,26,29,19,21,20,4,5,6,0,0,0,0,0,0
91,2,36,14,26,34,10,32,29,35,21,20,7,4,25,30,5,6,0
92,2,22,36,14,26,34,10,32,29,35,21,7,4,28,30,5,6,0
93,2,36,14,34,29,35,21,7,4,25,28,5,6,0,0,0,0,0
94,2,16,22,14,26,32,29,21,4,30,5,6,0,0,0,0,0,0
95,2,16,36,14,34,10,29,35,21,7,4,28,5,6,0,0,0,0
96,2,22,14,26,32,29,21,4,25,30,5,6,0,0,0,0,0,0
97,2,36,14,34,10,29,35,21,7,4,5,6,0,0,0,0,0,0
98,25,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2,14,26,32,29,21,4,30,5,6,0,0,0,0,0,0,0,0
100,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2,36,14,34,29,35,21,7,4,25,28,5,6,0,0,0,0,0
102,2,22,14,26,10,32,29,21,4,30,5,6,0,0,0,0,0,0
103,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2,36,14,34,29,35,21,7,4,28,5,6,0,0,0,0,0,0
105,21,25,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2,22,14,26,10,32,29,21,4,30,5,6,0,0,0,0,0,0
107,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2,36,14,34,29,35,21,7,4,25,28,5,6,0,0,0,0,0
109,2,22,14,32,29,21,4,30,5,6,0,0,0,0,0,0,0,0
110,2,36,14,34,29,35,21,7,4,25,5,6,0,0,0,0,0,0
111,2,14,10,32,29,21,4,30,5,6,0,0,0,0,0,0,0,0
112,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2,36,14,34,29,35,21,7,4,25,28,5,6,0,0,0,0,0
114,2,22,14,32,29,21,4,30,5,6,0,0,0,0,0,0,0,0
115,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2,36,14,34,29,35,21,7,4,5,6,0,0,0,0,0,0,0
117,2,22,14,32,29,21,4,30,5,6,0,0,0,0,0,0,0,0
118,2,16,36,14,34,29,35,21,7,4,25,5,6,0,0,0,0,0
119,2,22,14,10,32,29,21,4,30,5,6,0,0,0,0,0,0,0
120,2,36,14,34,29,35,21,7,4,25,5,6,0,0,0,0,0,0
121,2,22,14,32,29,21,4,30,5,6,0,0,0,0,0,0,0,0
122,2,36,14,34,29,35,21,7,4,28,5,6,0,0,0,0,0,0
123,2,22,14,10,32,29,21,4,25,30,5,6,0,0,0,0,0,0
124,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2,16,36,14,34,29,35,21,7,4,25,28,5,6,0,0,0,0
126,2,14,32,29,21,4,30,5,6,0,0,0,0,0,0,0,0,0
127,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2,36,14,34,29,35,21,7,4,25,28,5,6,0,0,0,0,0
129,2,22,14,10,32,29,21,4,30,5,6,0,0,0,0,0,0,0
130,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2,36,14,34,29,35,21,7,4,25,28,5,6,0,0,0,0,0
133,2,22,14,10,32,29,21,4,30,5,6,0,0,0,0,0,0,0
134,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2,36,14,34,29,35,21,7,4,25,28,5,6,0,0,0,0,0
136,2,14,10,32,29,21,4,30,5,6,0,0,0,0,0,0,0,0
137,2,36,14,34,29,35,21,7,4,28,5,6,0,0,0,0,0,0
138,2,16,22,14,32,29,21,4,30,5,6,0,0,0,0,0,0,0
139,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2,36,14,34,29,35,21,7,4,25,28,5,6,0,0,0,0,0
141,2,22,14,32,29,21,4,30,5,6,0,0,0,0,0,0,0,0
