,0
0,0.06130264
1,0.06130264
2,0.06130264
3,0.06130264
4,0.06130264
5,0.06130264
6,0.06130264
7,0.06130264
8,0.06130264
9,0.06130264
10,0.06130264
11,0.06130264
12,0.06130264
13,0.06130264
14,0.06130264
15,0.06130264
16,0.06130264
17,0.06130264
18,0.06130264
19,0.06130264
20,0.06130264
21,0.06130264
22,0.06130264
23,0.06130264
24,0.06130264
25,0.06130264
26,0.06130264
27,0.06130264
28,0.06130264
29,0.06130264
30,0.06130264
31,0.06130264
32,0.06130264
33,0.06130264
34,0.06130264
35,0.06130264
36,0.06130264
37,0.06130264
38,0.06130264
39,0.06130264
40,0.06130264
41,0.06130264
42,0.06130264
43,0.06130264
44,0.06130264
45,0.06130264
46,0.06130264
47,0.06130264
48,0.06130264
49,0.06130264
50,0.06130264
51,0.06130264
52,0.06130264
53,0.06130264
54,0.06130264
55,0.06130264
56,0.06130264
57,0.06130264
58,0.06130264
59,0.06130264
60,0.06130264
61,0.06130264
62,0.06130264
63,0.06130264
64,0.06130264
65,0.06130264
66,0.06130264
67,0.06130264
68,0.06130264
69,0.06130264
70,0.06130264
71,0.06130264
72,0.06130264
73,0.06130264
74,0.06130264
75,0.06130264
76,0.06130264
77,0.06130264
78,0.06130264
79,0.06130264
80,0.06130264
81,0.06130264
82,0.06130264
83,0.06130264
84,0.06130264
85,0.06130264
86,0.06130264
87,0.06130264
88,0.06130264
89,0.06130264
90,0.06130264
91,0.06130264
92,0.06130264
93,0.06130264
94,0.06130264
95,0.06130264
96,0.06130264
97,0.06130264
98,0.06130264
99,0.06130264
100,0.06130264
101,0.06130264
102,0.06130264
103,0.06130264
104,0.06130264
105,0.06130264
106,0.06130264
107,0.06130264
108,0.06130264
109,0.06130264
110,0.06130264
111,0.06130264
112,0.06130264
113,0.06130264
114,0.06130264
115,0.06130264
116,0.06130264
117,0.06130264
118,0.06130264
119,0.06130264
120,0.06130264
121,0.06130264
122,0.06130264
123,0.06130264
124,0.06130264
125,0.06130264
126,0.06130264
127,0.06130264
128,0.06130264
129,0.06130264
130,0.06130264
131,0.06130264
132,0.06130264
133,0.06130264
134,0.06130264
135,0.06130264
136,0.06130264
137,0.06130264
138,0.06130264
139,0.06130264
140,0.06130264
141,0.06130264
142,0.06130264
143,0.06130264
144,0.06130264
145,0.06130264
146,0.06130264
147,0.06130264
148,0.06130264
149,0.06130264
150,0.06130264
151,0.06130264
152,0.06130264
153,0.06130264
154,0.06130264
155,0.06130264
156,0.06130264
157,0.06130264
158,0.06130264
159,0.06130264
160,0.06130264
161,0.06130264
162,0.06130264
163,0.06130264
164,0.06130264
165,0.06130264
166,0.06130264
167,0.06130264
168,0.06130264
169,0.06130264
170,0.06130264
171,0.06130264
172,0.06130264
173,0.06130264
174,0.06130264
175,0.06130264
176,0.06130264
177,0.06130264
178,0.06130264
179,0.06130264
