,0
0,0.13564117
1,0.13564117
2,0.13564117
3,0.13564117
4,0.13564117
5,0.1618894
6,0.1618894
7,0.1618894
8,0.1618894
9,0.11689243
10,0.11689243
11,0.11689243
12,0.11689243
13,0.10283088
14,0.10283088
15,0.10283088
16,0.09189411
17,0.09189411
18,0.09189411
19,0.09189411
20,0.09189411
21,0.09189411
22,0.09189411
23,0.09189411
24,0.0831447
25,0.09189411
26,0.06497285
27,0.048147056
28,0.048147056
29,0.050720412
30,0.050720412
31,0.040193047
32,0.037210293
33,0.05361544
34,0.05361544
35,0.05361544
36,0.070020586
37,0.070020586
38,0.070020586
39,0.10283088
40,0.10283088
41,0.10283088
42,0.10283088
43,0.09189411
44,0.09189411
45,0.09189411
46,0.09189411
47,0.10283088
48,0.10283088
49,0.09189411
50,0.09189411
51,0.09189411
52,0.09189411
53,0.09189411
54,0.09189411
55,0.09189411
56,0.09189411
57,0.09189411
58,0.10283088
59,0.10283088
60,0.10283088
61,0.10283088
62,0.10283088
63,0.10283088
64,0.10283088
65,0.10283088
66,0.09189411
67,0.09189411
68,0.09189411
69,0.09189411
70,0.09189411
71,0.09189411
72,0.10283088
73,0.10283088
74,0.10283088
75,0.10283088
76,0.10283088
77,0.10283088
78,0.11689243
79,0.11689243
80,0.11689243
81,0.11689243
82,0.11689243
83,0.11689243
84,0.10283088
85,0.10283088
86,0.10283088
87,0.11689243
88,0.11689243
89,0.11689243
90,0.11689243
91,0.09189411
92,0.09189411
93,0.09189411
94,0.09189411
95,0.11689243
96,0.11689243
97,0.11689243
98,0.11689243
99,0.11689243
100,0.11689243
101,0.11689243
102,0.11689243
103,0.11689243
104,0.11689243
105,0.11689243
106,0.11689243
107,0.11689243
108,0.10283088
109,0.10283088
110,0.10283088
111,0.10283088
112,0.10283088
113,0.10283088
114,0.10283088
115,0.10283088
116,0.10283088
117,0.10283088
118,0.10283088
119,0.10283088
120,0.10283088
121,0.10283088
122,0.10283088
123,0.10283088
124,0.10283088
125,0.10283088
126,0.10283088
127,0.10283088
128,0.10283088
129,0.10283088
130,0.10283088
131,0.10283088
132,0.10283088
133,0.10283088
134,0.10283088
135,0.09189411
136,0.09189411
137,0.09189411
138,0.09189411
139,0.09189411
140,0.11689243
141,0.11689243
142,0.11689243
143,0.11689243
144,0.09189411
145,0.09189411
146,0.09189411
147,0.09189411
148,0.09189411
149,0.09189411
150,0.09189411
151,0.10283088
152,0.10283088
153,0.10283088
154,0.10283088
155,0.10283088
156,0.10283088
157,0.10283088
158,0.10283088
159,0.10283088
160,0.10283088
161,0.11689243
162,0.11689243
163,0.11689243
164,0.11689243
165,0.11689243
166,0.11689243
167,0.11689243
168,0.11689243
169,0.11689243
170,0.10283088
171,0.10283088
172,0.10283088
173,0.10283088
174,0.11689243
175,0.11689243
176,0.11689243
177,0.11689243
178,0.11689243
179,0.11689243
